0	6.267647644895755e-05
1	6.0539485964795434e-05
2	5.87976970986236e-05
3	5.7484024770210575e-05
4	5.652368569844472e-05
5	5.583521968665653e-05
6	5.534904886359194e-05
7	5.500921773587011e-05
8	5.477092069234235e-05
9	5.459803694781629e-05
10	5.446270427436052e-05
11	5.4345631003678605e-05
12	5.423515720496091e-05
13	5.412514034232992e-05
14	5.401289805156844e-05
15	5.3897742214841226e-05
16	5.378001777938916e-05
17	5.3660468809528434e-05
18	5.353982763950781e-05
19	5.3418580780325954e-05
20	5.329688566624061e-05
21	5.317460667896535e-05
22	5.305142371973246e-05
23	5.2926959909273895e-05
24	5.280088579932853e-05
25	5.267297981236626e-05
26	5.254314520083887e-05
27	5.241139449318373e-05
28	5.2277813989451974e-05
29	5.214251852472401e-05
30	5.200560472543722e-05
31	5.186711078770949e-05
32	5.1726991583040625e-05
33	5.158511749767005e-05
34	5.14413017982765e-05
35	5.129535415390615e-05
36	5.114714967777515e-05
37	5.099669763866118e-05
38	5.084419458807455e-05
39	5.069005228644948e-05
40	5.0534898005995e-05
41	5.0379550399273826e-05
42	5.0224977080101905e-05
43	5.0072241079849325e-05
44	4.9922443324853716e-05
45	4.977666753621456e-05
46	4.963593231280646e-05
47	4.950115275051561e-05
48	4.93731113273152e-05
49	4.925243607110987e-05
50	4.913958401076465e-05
51	4.903482950047503e-05
52	4.893825871396533e-05
53	4.884977166564244e-05
54	4.876909087635327e-05
55	4.8695772789527256e-05
56	4.862921690696678e-05
57	4.8568669914828255e-05
58	4.8513226787414675e-05
59	4.8461835118398184e-05
60	4.84133101992676e-05
61	4.83663660845882e-05
62	4.8319663423973705e-05
63	4.827187042483269e-05
64	4.8221730632562546e-05
65	4.816813058962776e-05
66	4.8110160660229246e-05
67	4.8047161789225716e-05
68	4.797874927550158e-05
69	4.7904804135745724e-05
70	4.782542739921875e-05
71	4.7740864644907464e-05
72	4.7651422826604026e-05
73	4.7557408868148145e-05
74	4.7459111808240076e-05
75	4.7356830032685107e-05
76	4.725092555497578e-05
77	4.714188038949228e-05
78	4.703033568745178e-05
79	4.6917104423670474e-05
80	4.680315863440326e-05
81	4.668960147897817e-05
82	4.657763773908863e-05
83	4.6468549447294265e-05
84	4.636367123684725e-05
85	4.626435395566139e-05
86	4.617190974750605e-05
87	4.608754174018815e-05
88	4.601226894672492e-05
89	4.5946857935711884e-05
90	4.5891767409990336e-05
91	4.5847105030311335e-05
92	4.581259572588729e-05
93	4.578756910259864e-05
94	4.577098094925812e-05
95	4.5761480170729524e-05
96	4.5757519178326994e-05
97	4.5757491521635665e-05
98	4.575987156900506e-05
99	4.576332978116102e-05
100	4.576680439048545e-05
101	4.5769524256605455e-05
102	4.5770992114360775e-05
103	4.577094558121511e-05
104	4.5769311946824595e-05
105	4.5766165190561156e-05
106	4.5761686431135665e-05
107	4.575612691150311e-05
108	4.574977463569733e-05
109	4.5742927483041415e-05
110	4.5735874329244315e-05
111	4.572888257845988e-05
112	4.5722188582657086e-05
113	4.5715988203393144e-05
114	4.571042737075967e-05
115	4.5705594750208945e-05
116	4.570151921299469e-05
117	4.56981736539977e-05
118	4.569548488162871e-05
119	4.569334769590283e-05
120	4.569164043612958e-05
121	4.56902392246499e-05
122	4.568902887953287e-05
123	4.5687909776582627e-05
124	4.568680127337265e-05
125	4.568564300762673e-05
126	4.568439516360853e-05
127	4.5683038034439553e-05
128	4.568157061626812e-05
129	4.568000798461744e-05
130	4.5678377558604646e-05
131	4.567671468159865e-05
132	4.567505798924174e-05
133	4.567344495130389e-05
134	4.567190790850581e-05
135	4.567047092408751e-05
136	4.56691477848479e-05
137	4.566794142486211e-05
138	4.566684489850063e-05
139	4.566584373785392e-05
140	4.566491916782615e-05
141	4.566405142627429e-05
142	4.566322245251616e-05
143	4.566241754424071e-05
144	4.566162600575645e-05
145	4.566084108719859e-05
146	4.5660059546956606e-05
147	4.5659281042169515e-05
148	4.565850745232906e-05
149	4.565774219484468e-05
150	4.565698960948413e-05
151	4.565625443863358e-05
152	4.565554139089436e-05
153	4.5654854742726325e-05
154	4.5654197985129796e-05
155	4.565357353563041e-05
156	4.56529825686981e-05
157	4.565242499090131e-05
158	4.5651899571455846e-05
159	4.5651404215595525e-05
160	4.565093630808941e-05
161	4.565049303331827e-05
162	4.565007160910732e-05
163	4.5649669439341807e-05
164	4.564928422529129e-05
165	4.564891407804573e-05
166	4.564855760847417e-05
167	4.564821396077803e-05
168	4.5647882768976725e-05
169	4.564756406066079e-05
170	4.5647258136042345e-05
171	4.564696544433355e-05
172	4.5646686465098506e-05
173	4.564642158979049e-05
174	4.5646171044208477e-05
175	4.56459348500442e-05
176	4.564571283630969e-05
177	4.5645504669261074e-05
178	4.564530988791976e-05
179	4.5645127923923164e-05
180	4.564495811489809e-05
181	4.5644799723180045e-05
182	4.5644651964255164e-05
183	4.564451404638207e-05
184	4.5644385213172584e-05
185	4.564426477434754e-05
186	4.564415212264162e-05
187	4.564404673798035e-05
188	4.5643948187856915e-05
189	4.56438561221888e-05
190	4.5643770257742784e-05
191	4.564369036015265e-05
192	4.564361621946649e-05
193	4.564354763427397e-05
194	4.5643484398889804e-05
195	4.5643426290772244e-05
196	4.564337306250892e-05
197	4.5643324438512666e-05
198	4.5643280116245395e-05
199	4.564323978103477e-05
200	4.5643203115792655e-05
201	4.56431698150734e-05
202	4.564313959279835e-05
203	4.564311218471648e-05
204	4.5643087351151116e-05
205	4.5643064875347475e-05
206	4.56430445601106e-05
207	4.564302622663436e-05
208	4.564300971294611e-05
